sepal_length,sepal_width,petal_length,petal_width,species,ID
5.7,2.6,3.5,1.0,versicolor,20240223222644_80
5.5,2.4,3.8,1.1,versicolor,20240223222644_81
5.5,2.4,3.7,1.0,versicolor,20240223222644_82
5.8,2.7,3.9,1.2,versicolor,20240223222644_83
6.0,2.7,5.1,1.6,versicolor,20240223222644_84
5.4,3.0,4.5,1.5,versicolor,20240223222644_85
6.0,3.4,4.5,1.6,versicolor,20240223222644_86
6.7,3.1,4.7,1.5,versicolor,20240223222644_87
6.3,2.3,4.4,1.3,versicolor,20240223222644_88
5.6,3.0,4.1,1.3,versicolor,20240223222644_89
5.5,2.5,4.0,1.3,versicolor,20240223222644_90
5.5,2.6,4.4,1.2,versicolor,20240223222644_91
6.1,3.0,4.6,1.4,versicolor,20240223222644_92
5.8,2.6,4.0,1.2,versicolor,20240223222644_93
5.0,2.3,3.3,1.0,versicolor,20240223222644_94
5.6,2.7,4.2,1.3,versicolor,20240223222644_95
5.7,3.0,4.2,1.2,versicolor,20240223222644_96
5.7,2.9,4.2,1.3,versicolor,20240223222644_97
6.2,2.9,4.3,1.3,versicolor,20240223222644_98
5.1,2.5,3.0,1.1,versicolor,20240223222644_99
5.7,2.8,4.1,1.3,versicolor,20240223222644_100
6.3,3.3,6.0,2.5,virginica,20240223222644_101
5.8,2.7,5.1,1.9,virginica,20240223222644_102
7.1,3.0,5.9,2.1,virginica,20240223222644_103
6.3,2.9,5.6,1.8,virginica,20240223222644_104
6.5,3.0,5.8,2.2,virginica,20240223222644_105
7.6,3.0,6.6,2.1,virginica,20240223222644_106
4.9,2.5,4.5,1.7,virginica,20240223222644_107
7.3,2.9,6.3,1.8,virginica,20240223222644_108
6.7,2.5,5.8,1.8,virginica,20240223222644_109
7.2,3.6,6.1,2.5,virginica,20240223222644_110
6.5,3.2,5.1,2.0,virginica,20240223222644_111
6.4,2.7,5.3,1.9,virginica,20240223222644_112
6.8,3.0,5.5,2.1,virginica,20240223222644_113
5.7,2.5,5.0,2.0,virginica,20240223222644_114
5.8,2.8,5.1,2.4,virginica,20240223222644_115
6.4,3.2,5.3,2.3,virginica,20240223222644_116
6.5,3.0,5.5,1.8,virginica,20240223222644_117
7.7,3.8,6.7,2.2,virginica,20240223222644_118
7.7,2.6,6.9,2.3,virginica,20240223222644_119
6.0,2.2,5.0,1.5,virginica,20240223222644_120
6.9,3.2,5.7,2.3,virginica,20240223222644_121
5.6,2.8,4.9,2.0,virginica,20240223222644_122
7.7,2.8,6.7,2.0,virginica,20240223222644_123
6.3,2.7,4.9,1.8,virginica,20240223222644_124
6.7,3.3,5.7,2.1,virginica,20240223222644_125
7.2,3.2,6.0,1.8,virginica,20240223222644_126
6.2,2.8,4.8,1.8,virginica,20240223222644_127
6.1,3.0,4.9,1.8,virginica,20240223222644_128
6.4,2.8,5.6,2.1,virginica,20240223222644_129
7.2,3.0,5.8,1.6,virginica,20240223222644_130
7.4,2.8,6.1,1.9,virginica,20240223222644_131
7.9,3.8,6.4,2.0,virginica,20240223222644_132
6.4,2.8,5.6,2.2,virginica,20240223222644_133
6.3,2.8,5.1,1.5,virginica,20240223222644_134
6.1,2.6,5.6,1.4,virginica,20240223222644_135
7.7,3.0,6.1,2.3,virginica,20240223222644_136
6.3,3.4,5.6,2.4,virginica,20240223222644_137
6.4,3.1,5.5,1.8,virginica,20240223222644_138
6.0,3.0,4.8,1.8,virginica,20240223222644_139
6.9,3.1,5.4,2.1,virginica,20240223222644_140
6.7,3.1,5.6,2.4,virginica,20240223222644_141
6.9,3.1,5.1,2.3,virginica,20240223222644_142
5.8,2.7,5.1,1.9,virginica,20240223222644_143
6.8,3.2,5.9,2.3,virginica,20240223222644_144
6.7,3.3,5.7,2.5,virginica,20240223222644_145
6.7,3.0,5.2,2.3,virginica,20240223222644_146
6.3,2.5,5.0,1.9,virginica,20240223222644_147
6.5,3.0,5.2,2.0,virginica,20240223222644_148
6.2,3.4,5.4,2.3,virginica,20240223222644_149
5.9,3.0,5.1,1.8,virginica,20240223222644_150
